E_GeV,gamma,e-,e+,neutron,proton
0.00004466836,19076,0,0,0,0
0.00005011872,1036967,0,0,0,0
0.00005623413,1255053,0,0,0,0
0.00006309573,1473142,0,0,0,0
0.00007079458,1681766,0,0,0,0
0.00007943282,1883914,0,0,0,0
0.00008912509,2079087,0,0,0,0
0.0001,2269855,0,0,0,0
0.0001122018,2470446,0,0,0,0
0.0001258925,2686895,0,0,0,0
0.0001412538,2896712,0,0,0,0
0.0001584893,3113886,0,0,0,0
0.0001778279,3326657,0,0,0,0
0.0001995262,3524066,0,0,0,0
0.0002238721,3714898,11552,31,0,0
0.0002511886,3890205,22213,62,0,0
0.0002818383,4059691,27201,137,0,0
0.0003162278,4197511,33290,200,0,0
0.0003548134,4322831,40270,387,0,0
0.0003981072,4422880,48705,620,0,0
0.0004466836,4506310,58550,1021,0,0
0.0005011872,4845805,69704,1739,0,0
0.0005623413,4557295,82321,2618,0,0
0.0006309573,4596543,96051,3783,0,0
0.0007079458,4627534,109140,5312,0,0
0.0007943282,4651700,124875,7499,0,0
0.0008912509,4673587,140158,10308,0,0
0.001,4700841,155509,13614,0,0
0.001122018,4713851,171597,17550,0,0
0.001258925,4734341,186360,21902,0,0
0.001412538,4758488,200510,27013,0,0
0.001584893,4781007,210989,31763,0,0
0.001778279,4803072,237188,40418,0,0
0.001995262,4814733,262325,50017,0,0
0.002238721,4840773,285687,60503,0,0
0.002511886,4859562,309448,72365,0,0
0.002818383,4889240,330626,84900,0,0
0.003162278,4905916,349264,98088,0,0
0.003548134,4921776,369372,111261,0,0
0.003981072,4929574,387183,126121,0,0
0.004466836,4935919,402448,140648,0,0
0.005011872,4936782,415570,155216,0,0
0.005623413,4920512,430787,171322,0,0
0.006309573,4887507,440959,186224,0,0
0.007079458,4847300,451013,201125,0,0
0.007943282,4790392,458428,215618,0,0
0.008912509,4718593,464050,228836,0,0
0.01,4629898,468145,243033,0,0
0.01122018,4522034,471449,255794,0,0
0.01258925,4392097,475053,267947,0,0
0.01412538,4255153,473570,277927,0,0
0.01584893,4098663,470552,286831,0,0
0.01778279,3931905,465934,293817,0,0
0.01995262,3745058,460128,301056,0,0
0.02238721,3553111,452606,306345,0,0
0.02511886,3358125,444211,309527,0,0
0.02818383,3153959,434211,309975,0,0
0.03162278,2954958,423420,311537,0,0
0.03548134,2759352,409464,309131,0,0
0.03981072,2563846,395188,306409,0,0
0.04466836,2358279,381577,300335,0,0
0.05011872,2105072,367808,296326,0,0
0.05623413,1921430,349986,287885,0,0
0.06309573,1754437,334025,278325,0,0
0.07079458,1595013,315847,267309,0,0
0.07943282,1450504,297176,256631,0,0
0.08912509,1315819,279102,242575,0,0
0.1,1204266,261699,230291,0,0
0.1122018,1106516,242442,215147,0,0
0.1258925,1020622,222116,200365,0,0
0.1412538,948026,201944,184069,0,0
0.1584893,860302,182116,167080,0,0
0.1778279,766248,166058,152694,0,0
0.1995262,677725,148632,138553,0,0
0.2238721,598570,132902,124656,0,0
0.2511886,522462,116425,110371,0,0
0.2818383,454503,102655,97313,360493,39612
0.3162278,393459,90284,86064,2535652,266349
0.3548134,340531,78905,75721,2829033,309767
0.3981072,293937,69095,66668,3019262,352908
0.4466836,251400,59668,58369,3148399,385487
0.5011872,213918,51805,50147,2611056,400502
0.5623413,181719,44510,43126,2023924,403903
0.6309573,153394,37829,37264,1608729,402987
0.7079458,129227,32214,31995,1189146,402707
0.7943282,110341,27777,27407,918451,410600
0.8912509,92341,23869,23698,789468,409736
1,77495,20163,19874,666546,399324
1.122018,65088,16909,16955,546068,380550
1.258925,54747,14106,14374,446750,357756
1.412538,46058,12071,12074,363671,328175
1.584893,38941,10231,9972,289816,296138
1.778279,32030,8511,8585,232516,263354
1.995262,27118,7301,7135,191268,232324
2.238721,22916,5782,5882,158724,206454
2.511886,18670,4889,4832,131863,182130
2.818383,15650,4196,4135,111222,160436
3.162278,13001,3448,3322,94876,140792
3.548134,11168,2802,2872,80766,121792
3.981072,9104,2315,2373,67135,104498
4.466836,7556,1881,1911,55633,88443
5.011872,6204,1567,1533,46228,74996
5.623413,5342,1305,1239,38529,64621
6.309573,4201,1023,1054,32486,54948
7.079458,3486,860,834,27231,46154
7.943282,2879,745,676,22954,38628
8.912509,2485,586,545,18838,32729
10,1889,475,412,15517,26909
11.22018,1632,379,379,12930,22457
12.58925,1284,325,317,10654,18387
14.12538,1097,244,261,8411,15184
15.84893,848,216,205,6827,12362
17.78279,693,141,163,5487,10018
19.95262,585,105,119,4551,8192
22.38721,461,96,114,3472,6622
25.11886,361,99,88,2972,5455
28.18383,327,66,64,2366,4547
31.62278,229,54,47,1963,3540
35.48134,186,37,36,1690,3174
39.81072,156,43,46,1313,2398
44.66836,131,20,42,1050,1963
50.11872,93,38,21,803,1649
56.23413,85,21,14,555,1216
63.09573,78,16,15,350,949
70.79458,62,9,11,330,764
79.43282,30,13,5,333,859
89.12509,31,12,9,268,640
100,36,6,16,226,559
112.2018,26,11,8,185,460
125.8925,16,9,0,137,364
141.2538,13,0,3,120,297
158.4893,10,6,2,92,256
177.8279,11,0,4,74,204
199.5262,8,2,4,52,144
223.8721,7,1,3,47,134
251.1886,5,2,2,48,92
281.8383,8,0,0,45,72
316.2278,9,1,1,33,63
354.8134,2,1,1,30,58
398.1072,1,0,1,10,42
446.6836,10,1,0,15,34
501.1872,2,0,1,14,22
562.3413,2,0,0,11,20
630.9573,2,0,0,1,7
707.9458,4,0,0,6,17
794.3282,1,0,0,5,21
891.2509,1,0,0,1,3
1000,0,0,1,1,7
