####
## Particle names and ids
## Columns 1 to 6 are identical to table 20 in CORSIKA userguide.pdf (Version 7.6900 from January 16, 2019)
## Column 0 is names as used in sapphire.corsika
# # https://docs.hisparc.nl/sapphire/installation.html
# https://www.hisparc.nl/en/
## Column 7 is General Particle Source codes Geant4 https://indico.ph.tum.de/event/3955/sessions/752/attachments/2741/3099/Day3_Physics.pdf
####
name,CORSIKA,DPMJET,PYTHIA HERWIG (PDG),EPOS (ISAJET),QGSJET,SIBYLL,G4 GPS
gamma,1,7.0,22,10.0,,1.0,gamma
positron,2,4.0,-11,-12.0,,2.0,e+
electron,3,3.0,11,12.0,,3.0,e-
muon_p,5,10.0,-13,-14.0,,4.0,mu+
muon_m,6,11.0,13,14.0,,5.0,mu-
pion_0,7,23.0,111,110.0,0.0,6.0,pi0
pion_p,8,13.0,211,120.0,1.0,7.0,pi+
pion_m,9,14.0,-211,-120.0,-1.0,8.0,pi-
Kaon_0_long,10,12.0,130,-230.0,-5.0,11.0,kaon0L
Kaon_p,11,15.0,321,130.0,4.0,9.0,kaon+
Kaon_m,12,16.0,-321,-130.0,-4.0,10.0,kaon-
neutron,13,8.0,2112,1220.0,3.0,14.0,neutron
proton,14,1.0,2212,1120.0,2.0,13.0,proton
anti_proton,15,2.0,-2212,-1120.0,-2.0,-13.0,anti_proton
Kaon_0_short,16,19.0,310,-230.0,5.0,12.0,kaon0S
eta,17,31.0,221,220.0,10.0,23.0,
Lambda,18,17.0,3122,2130.0,6.0,39.0,lambda
Sigma_p,19,21.0,3222,1130.0,,34.0,
Sigma_0,20,22.0,3212,1230.0,,35.0,
Sigma_m,21,20.0,3112,2230.0,,36.0,
Xi_0,22,97.0,3322,1330.0,,37.0,
Xi_m,23,98.0,3312,2330.0,,38.0,
Omega_m,24,109.0,3334,3331.0,,49.0,
anti_neutron,25,9.0,-2112,-1220.0,-3.0,-14.0,anti_neutron
anti_Lambda,26,18.0,-3122,-2130.0,-6.0,-39.0,anti_lambda
anti_Sigma_m,27,99.0,-3222,-1130.0,,-34.0,
anti_Sigma_0,28,100.0,-3212,-1230.0,,-35.0,
anti_Sigma_p,29,101.0,-3112,-2230.0,,-36.0,
anti_Xi_0,30,102.0,-3322,-1330.0,,-37.0,
anti_Xi_p,31,103.0,-3312,-2330.0,,-38.0,
anti_Omega_p,32,115.0,-3334,-3331.0,,-49.0,
omega,50,35.0,223,221.0,,32.0,
rho_0,51,33.0,113,111.0,-10.0,27.0,
rho_p,52,32.0,213,121.0,,25.0,
rho_m,53,34.0,-213,-121.0,,26.0,
Delta_pp,54,53.0,2224,1111.0,,40.0,
Delta_p,55,54.0,2214,1121.0,,41.0,
Delta_0,56,55.0,2114,1221.0,,42.0,
Delta_m,57,56.0,1114,2221.0,,43.0,
anti_Delta_mm,58,67.0,-2224,-1111.0,,-40.0,
anti_Delta_m,59,68.0,-2214,-1121.0,,-41.0,
anti_Delta_0,60,69.0,-2114,-1221.0,,-42.0,
anti_Delta_p,61,70.0,-1114,-2221.0,,-43.0,
Kaon_star_0,62,37.0,313,231.0,,30.0,
