E_GeV,gamma,e-,e+,neutron,proton
0.00004466836,13103,0,0,0,0
0.00005011872,709758,0,0,0,0
0.00005623413,857957,0,0,0,0
0.00006309573,1006491,0,0,0,0
0.00007079458,1146796,0,0,0,0
0.00007943282,1281834,0,0,0,0
0.00008912509,1411070,0,0,0,0
0.0001,1536219,0,0,0,0
0.0001122018,1671354,0,0,0,0
0.0001258925,1810880,0,0,0,0
0.0001412538,1947953,0,0,0,0
0.0001584893,2090453,0,0,0,0
0.0001778279,2227125,0,0,0,0
0.0001995262,2355711,0,0,0,0
0.0002238721,2480180,7823,12,0,0
0.0002511886,2597517,15348,53,0,0
0.0002818383,2705452,18711,82,0,0
0.0003162278,2796578,22694,134,0,0
0.0003548134,2874579,27790,265,0,0
0.0003981072,2938489,33292,435,0,0
0.0004466836,2989762,40047,722,0,0
0.0005011872,3206749,47597,1121,0,0
0.0005623413,3013348,56106,1598,0,0
0.0006309573,3034732,64521,2454,0,0
0.0007079458,3052667,74216,3606,0,0
0.0007943282,3062988,84369,5017,0,0
0.0008912509,3073772,95261,6644,0,0
0.001,3083939,105600,8921,0,0
0.001122018,3090322,114890,11370,0,0
0.001258925,3103512,125716,14310,0,0
0.001412538,3111644,134497,17634,0,0
0.001584893,3120884,141729,20669,0,0
0.001778279,3130352,158970,26279,0,0
0.001995262,3141045,175445,32548,0,0
0.002238721,3154417,190067,39816,0,0
0.002511886,3162161,205274,46955,0,0
0.002818383,3178926,218975,55556,0,0
0.003162278,3189896,231918,64184,0,0
0.003548134,3198330,245655,72762,0,0
0.003981072,3200586,256947,82244,0,0
0.004466836,3199618,267507,90868,0,0
0.005011872,3194926,277463,101568,0,0
0.005623413,3182129,286147,112146,0,0
0.006309573,3165780,294078,121889,0,0
0.007079458,3136450,299985,131958,0,0
0.007943282,3099316,306268,140834,0,0
0.008912509,3053293,310423,151348,0,0
0.01,2993025,313309,159959,0,0
0.01122018,2925346,315724,169270,0,0
0.01258925,2848510,318353,177127,0,0
0.01412538,2756473,317396,184199,0,0
0.01584893,2657851,316827,192070,0,0
0.01778279,2553582,313163,197060,0,0
0.01995262,2440361,311009,201504,0,0
0.02238721,2321604,306454,205160,0,0
0.02511886,2194729,301162,208787,0,0
0.02818383,2067052,295521,208384,0,0
0.03162278,1946522,287444,210092,0,0
0.03548134,1816624,279518,210377,0,0
0.03981072,1690756,269985,207264,0,0
0.04466836,1562456,262517,204345,0,0
0.05011872,1405331,252913,201716,0,0
0.05623413,1293239,241128,197408,0,0
0.06309573,1185703,230962,191054,0,0
0.07079458,1083948,221083,184999,0,0
0.07943282,990174,208602,177423,0,0
0.08912509,901692,197227,168858,0,0
0.1,822414,185826,161285,0,0
0.1122018,752901,172582,152198,0,0
0.1258925,690546,160801,143654,0,0
0.1412538,632483,148223,134176,0,0
0.1584893,573854,135212,123089,0,0
0.1778279,515796,124274,113697,0,0
0.1995262,456900,113930,104706,0,0
0.2238721,408537,103449,95947,0,0
0.2511886,363475,92870,86940,0,0
0.2818383,320257,83095,78609,78281,10248
0.3162278,281738,74188,70019,544770,69369
0.3548134,249068,65919,62704,604100,81171
0.3981072,219286,58881,56504,635056,92044
0.4466836,191279,51897,50006,652421,101572
0.5011872,166749,45353,44124,549602,105396
0.5623413,144501,40065,39012,441355,107025
0.6309573,124601,34640,33858,365012,105980
0.7079458,108331,30046,29668,289967,105817
0.7943282,92964,26210,25916,240379,105606
0.8912509,80645,23051,22494,217483,104183
1,68900,19326,19328,189865,98676
1.122018,58990,16629,16693,155925,92331
1.258925,50118,14224,14556,129275,83759
1.412538,43796,12079,12196,106627,74969
1.584893,36968,10375,10404,87706,68284
1.778279,31191,8723,8972,71936,61674
1.995262,26687,7475,7430,62605,57316
2.238721,22913,6082,6329,54893,53341
2.511886,19035,5174,5130,49429,50116
2.818383,16139,4220,4482,45779,47130
3.162278,13691,3673,3499,42107,44765
3.548134,11459,2942,3023,39839,43078
3.981072,9591,2520,2580,36062,40149
4.466836,8040,2005,2040,33417,36878
5.011872,6667,1576,1602,30703,34482
5.623413,5682,1350,1321,28247,32442
6.309573,4629,1112,1148,25826,30375
7.079458,3745,881,903,23567,28226
7.943282,3143,777,723,20982,25801
8.912509,2538,556,621,18325,23985
10,2030,518,475,15554,21957
11.22018,1696,375,392,13300,20309
12.58925,1371,353,338,11119,17626
14.12538,1153,274,276,9138,15509
15.84893,929,241,208,7377,12819
17.78279,729,153,155,5749,10486
19.95262,597,124,130,4826,8840
22.38721,490,109,97,3842,7240
25.11886,421,89,98,3272,5714
28.18383,324,68,84,2587,4875
31.62278,239,66,50,2032,3815
35.48134,216,43,32,1672,3450
39.81072,161,31,33,1369,2625
44.66836,116,38,44,1181,2067
50.11872,98,29,22,810,1706
56.23413,108,29,26,619,1305
63.09573,86,10,14,423,1038
70.79458,66,7,20,360,831
79.43282,38,17,14,363,979
89.12509,35,12,9,299,716
100,38,10,8,233,553
112.2018,17,5,6,185,462
125.8925,21,3,5,118,352
141.2538,9,0,8,97,277
158.4893,11,3,4,93,257
177.8279,19,7,3,90,200
199.5262,4,4,4,68,167
223.8721,7,1,3,57,149
251.1886,5,0,6,49,88
281.8383,4,0,1,33,78
316.2278,4,1,0,26,56
354.8134,5,0,2,23,57
398.1072,1,0,1,13,49
446.6836,8,1,0,10,32
501.1872,2,0,0,15,21
562.3413,2,0,0,13,14
630.9573,1,1,0,1,14
707.9458,3,0,0,5,21
794.3282,2,0,0,3,12
891.2509,0,0,1,1,8
1000,0,0,1,2,17
